step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,quantum_field_performance,learning_rate,batch_loss,signal_adaptations,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,scbf_symbolic_entropy_collapse,scbf_activation_ancestry_stability,scbf_collapse_phase_alignment,scbf_bifractal_lineage_strength,scbf_semantic_attractor_density,scbf_weight_drift_entropy,scbf_entropy_gradient_alignment,scbf_structural_entropy,scbf_total_collapse_events,scbf_entropy_variance,scbf_pattern_consistency,scbf_recursive_activity,scbf_entropy_momentum,scbf_top_neuron_consistency
0,0.9124128818511963,0.0,26,0.5228996361036902,0.5228996361036902,0.4151038854538758,0.01,1.0,0,0.08247704803943634,0.00040000998589495573,0.5,1.0019607842707579,0.9903299540281295,0.0001793574699752165,0.5,-0.012036672793328762,0.5,0.0,0.999998902341065,0.5141492486000061,3.257512092590332,0,1.8025607460003812e-06,-0.38778654173522176,0.34615384615384615,2.931760883331299,0.9796132314950228
10,0.823699951171875,0.19999551296234125,26,0.5483358155256949,0.5483358155256949,0.43010433938768855,0.01,0.9892297387123108,0,0.10325834155082703,0.09933233938893427,0.5,1.0300180348172583,0.988190659880638,0.0003225653723585298,0.5,-0.026358455419540405,0.5,0.07692307692307693,0.9999661189275404,0.6721094250679016,3.2570455074310303,0,3.2861955787666375e-06,-0.31048560421748306,0.3076923076923077,2.932340956687927,0.9653294607996941
20,0.2847636640071869,1.7213586053371426,26,0.7783532707338507,0.7783532707338507,0.5590454470883792,0.01,0.224252387881279,0,0.14664104580879211,0.3980266676492954,0.5,1.0724442805791459,0.9840553671121597,0.0007372609179926437,0.5,-0.026358455419540405,0.5,0.2692307692307692,0.9999494345117288,0.859523594379425,3.2556943893432617,0,7.49782793718623e-06,-0.17765739352521104,0.38461538461538464,2.9321249504089355,0.9644856415688992
30,0.026411334052681923,3.772892122239589,26,0.9742682751286471,0.9742682751286471,0.7160123871887277,0.01,0.003621884621679783,0,0.13822056353092194,0.8712501737586074,0.5,1.0704463642502742,0.9848249614238739,0.0005690995691541856,0.5,-0.026358455419540405,0.5,0.11538461538461539,0.9999652408003924,0.7916368842124939,3.256242275238037,0,5.7841743910103105e-06,-0.1910908212673048,0.34615384615384615,2.9336180477142335,0.9670269079506397
40,0.08949727565050125,6.789592423701567,31,0.9178545209330005,0.9178545209330005,0.6848472737380911,0.01,0.1675208956003189,0,0.1219390332698822,0.7211570513565642,0.5,1.072922335278665,0.9841964393854141,0.0004405969623665351,0.5,-0.018469637259840965,0.5,0.0967741935483871,0.0,0.7932687997817993,3.432474136352539,0,3.311281034257263e-06,-0.27112542180546306,0.2903225806451613,3.093226722717285,0.9660931378602982
50,0.005415862426161766,8.93922089469241,31,0.9946133111396385,0.9946133111396385,0.7248109904294819,0.01,0.0027723461389541626,0,0.07991694658994675,0.9090549691759063,0.5,1.061319175062544,0.9890073865652084,0.00021981247760038958,0.5,0.04279576987028122,0.5,0.06451612903225806,0.9999903493574269,0.6990174651145935,3.433232307434082,0,1.650453441470745e-06,-0.3987781741317751,0.2903225806451613,3.0949090766906737,0.9673071019351482
60,0.0007061403011903167,11.591127811419602,31,0.9992943579810775,0.9992943579810775,0.7275521857426703,0.01,0.0022938239853829145,0,0.0900094285607338,0.9476154046688263,0.5,1.0526591544199166,0.9877972573041915,0.0002277273930920698,0.5,-0.0050590261816978455,0.5,0.06451612903225806,0.9999979171275022,0.6725212335586548,3.4332051277160645,0,1.7071381535060937e-06,-0.3450336479006717,0.2903225806451613,3.095884614944458,0.9681277610361576
64,0.00026902189711108804,14.221382954740111,31,0.9997310504562054,0.9997310504562054,0.7278158927969129,0.01,0.00013237891835160553,0,0.09063155204057693,0.9664655098406157,0.5,1.0514317111496325,0.987723833322525,0.0002330040034197456,0.5,-0.018469637259840965,0.5,0.06451612903225806,0.9999998611418335,0.6707461476325989,3.4331870079040527,0,1.7471157889303868e-06,-0.3504753760072552,0.2903225806451613,3.0898683071136475,0.9680123999714851
74,0.001386997289955616,18.09854413132777,31,0.9986149238069705,0.9986149238069705,0.727267555992422,0.01,0.0002797636261675507,0,0.092239610850811,0.9435305590893845,0.5,1.0591979703969363,0.9875346720218658,0.0002459178129061712,0.5,-0.018469756469130516,0.5,0.06451612903225806,0.9999997917127502,0.6759538054466248,3.43314266204834,0,1.8443237195242546e-06,-0.3578559466118223,0.2903225806451613,3.0908283958435057,0.9677734076976776
84,0.0019721626304090023,23.75474674124854,31,0.9980317191395501,0.9980317191395501,0.7270525111209611,0.01,0.0033576798159629107,0,0.09428118169307709,0.9566498273724379,0.5,1.068961379773137,0.9872958004474639,0.00026744082871665853,0.5,-0.0050590261816978455,0.5,0.06451612903225806,0.9999989585637511,0.6926966309547424,3.4330687522888184,0,2.007911007240182e-06,-0.3696405844983379,0.2903225806451613,3.091761877059936,0.9674633629620075
