t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8888907432556152,3.7669920921325684,1,1
3,3.951296806335449,3.8221235275268555,1,1
4,3.630868673324585,3.476231098175049,1,1
5,3.38913631439209,3.2256197929382324,1,1
6,3.542750597000122,3.4474802017211914,1,1
7,3.7042980194091797,3.4642505645751953,1,1
8,3.515735149383545,3.413674831390381,1,1
9,3.4703049659729004,3.5126006603240967,1,1
10,3.0004241466522217,3.2342939376831055,1,1
11,3.6108455657958984,3.5405099391937256,1,1
12,3.2694449424743652,3.3621249198913574,1,1
13,3.5433032512664795,3.5458106994628906,1,1
14,3.929830312728882,3.5571138858795166,1,1
15,3.517106533050537,3.3964579105377197,1,1
16,4.032834529876709,3.300368547439575,1,1
17,3.3548781871795654,3.0918571949005127,1,1
18,3.1205081939697266,2.8743958473205566,1,1
19,3.6579816341400146,3.382659435272217,1,1
20,3.7023050785064697,3.388745069503784,1,1
21,3.849348306655884,3.5924904346466064,1,1
22,3.7025339603424072,3.3547186851501465,1,1
23,3.813507080078125,3.4707632064819336,1,1
24,2.9760942459106445,2.9441471099853516,1,1
25,2.9618568420410156,2.7244067192077637,1,1
26,3.2778425216674805,2.9886226654052734,1,1
27,3.362851858139038,3.1218810081481934,1,1
28,3.585709571838379,3.369351863861084,1,1
29,3.3968379497528076,3.324838638305664,1,1
30,3.3186042308807373,3.09365177154541,1,1
31,3.134612798690796,2.9494826793670654,1,1
32,2.9634289741516113,2.8467040061950684,1,1
33,3.041437864303589,2.8481688499450684,1,1
34,3.479912281036377,3.2309370040893555,1,1
35,3.4119601249694824,3.04658842086792,1,1
36,2.965209722518921,2.684843063354492,1,1
37,3.2200639247894287,2.7813611030578613,1,1
38,3.250361204147339,2.601433038711548,1,1
39,3.0359201431274414,2.7515320777893066,1,1
40,3.8358633518218994,3.3037164211273193,1,1
41,3.546367883682251,3.4013195037841797,1,1
42,3.7205371856689453,3.5144801139831543,1,1
43,3.2489497661590576,3.0705957412719727,1,1
44,3.440412998199463,3.1265392303466797,1,1
45,2.991553544998169,2.952242612838745,1,1
